Timestamp,Email,TodayDate,MealType,StarTime,StopTime,Distraction,Weather,Feel,Food,FoodGroups,Calories,Carbs,Protein,Fat,OtherNutri,NumFruits,TypeFruit,Company,Location,HungerBefore,HungerAfter,LikeFood,Notes,Photo,Icons
2/16/18 19:42,farhajw,2/16/18,Dinner,7:25:00 PM,7:50:00 PM,Phone,Rainy,Worried,Crispy chicken drunken noodles and a small cup of milk tea,"Protein foods, Grains, Vegetables",,,,,,0,,Alone,Home,1,9,,,https://drive.google.com/open?id=1_XtnkXezgUEs9go23hAj4Fdf75WW0hmk,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/16/18 19:42,farhajw,2/16/18,Dinner,7:25:00 PM,7:50:00 PM,Watching TV,Rainy,Disappointed,Crispy chicken drunken noodles and a small cup of milk tea,"Protein foods, Grains, Vegetables",,,,,,0,,Alone,Home,1,9,,,https://drive.google.com/open?id=1_XtnkXezgUEs9go23hAj4Fdf75WW0hmk,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/16/18 19:42,farhajw,2/16/18,Dinner,7:25:00 PM,7:50:00 PM,Phone,Rainy,Disappointed,Crispy chicken drunken noodles and a small cup of milk tea,"Protein foods, Grains, Vegetables",,,,,,0,,Alone,Home,1,9,,,https://drive.google.com/open?id=1_XtnkXezgUEs9go23hAj4Fdf75WW0hmk,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/16/18 20:17,mengyue,2/16/18,Dinner,4:45:00 PM,5:00:00 PM,Nothing,Windy,Disappointed,"Tofu skin, mushroom, beef, bamboo shoot","Protein foods, Vegetables, Fruits",102,0.4,10,2,"fiber 0.5
",2,Orange,Alone,Eat at work,1,8,,Just came across another awful restaurant,https://drive.google.com/open?id=1ReNfzvC34KTcp8dNkGRXcFDrWqiZoKWG,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/16/18 20:17,mengyue,2/16/18,Dinner,4:45:00 PM,5:00:00 PM,Nothing,Windy,Tired,"Tofu skin, mushroom, beef, bamboo shoot","Protein foods, Vegetables, Fruits",102,0.4,10,2,"fiber 0.5
",2,Orange,Alone,Eat at work,1,8,,Just came across another awful restaurant,https://drive.google.com/open?id=1ReNfzvC34KTcp8dNkGRXcFDrWqiZoKWG,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/16/18 22:19,khalidjawed,2/16/18,Snack,7:15:00 PM,7:35:00 PM,Watching TV,Windy,Good,Fried eggplant,Vegetables,,,,,,0,,Alone,Home,8,9,,,https://drive.google.com/open?id=1d8EYvdXaf0TZM_GXHGbfBFv8dC9Zx80G,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 0:53,khalidjawed,2/16/18,Dinner,9:50:00 PM,10:10:00 PM,Nothing,Windy,Satisfied,"Rice, lady's finger, chicken, lentils","Grains, Vegetables, Protein foods",,,,,,0,,Alone,Home,7,9,,,https://drive.google.com/open?id=19xasWZlfLqUrH9-xnHH_YRqf2mEjHtcw,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 0:53,khalidjawed,2/16/18,Dinner,9:50:00 PM,10:10:00 PM,Nothing,Windy,Good,"Rice, lady's finger, chicken, lentils","Grains, Vegetables, Protein foods",,,,,,0,,Alone,Home,7,9,,,https://drive.google.com/open?id=19xasWZlfLqUrH9-xnHH_YRqf2mEjHtcw,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 3:48,nusaybah,2/17/18,Lunch,12:00:00 PM,12:15:00 PM,Nothing,Sunny,Bored,Paratha and poached egg along  with black coffee,"Grains, Protein foods, Fruits",,,,,,1,Grape,Alone,Home,3,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/17/18 7:42,nusaybah,2/17/18,Lunch,3:15:00 PM,3:30:00 PM,Watching TV,Sunny,Bored,Rice fish and vegetable,"Grains, Protein foods, Vegetables",,,,,,1,,Alone,Home,5,10,,,https://drive.google.com/open?id=1e_BLJ2QdNImtqXk9-if7LEU_HYkNAMRL,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/17/18 10:22,mengyue,2/17/18,Breakfast,10:00:00 AM,10:12:00 AM,Working,Sunny,Peaceful,Milk and cookies,"Dairy, Grains, Fruits",180,32,5,8,"sugar 20g,  sodium 45 mg, vitamin c 51.1 mg",1,Orange,Pets,Home,5,7,,,https://drive.google.com/open?id=1knSkkbhzU4v9iNOLuI1TnbOtwF-qdKEq,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 12:52,ysun,2/17/18,Breakfast,8:20:00 AM,8:45:00 AM,Nothing,Sunny,Tired,"Toast, peanut butter, milk","Grains, Protein foods, Dairy",,,,,,0,,Family,Home,4,7,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/17/18 12:53,ysun,2/17/18,Lunch,11:40:00 AM,12:15:00 AM,Nothing,Sunny,Tired,"Salad, cauliflower",Vegetables,,,,,,0,,Family,Home,4,9,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/17/18 13:39,mengyue,2/17/18,Lunch,1:00:00 AM,1:20:00 AM,Watching TV,Sunny,Worried,"Tofu skin, cauliflower, bamboo shoot, mushroom, beef, pickled pig intestine","Fruits, Protein foods, Vegetables",200,50,30,17,"sodium 400 g, vitamin c 51g",1,Orange,Pets,Home,6,6,,,https://drive.google.com/open?id=1oQ3U7aF92AJZXdZbmAOqSPnGrV-afd-4,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv11
2/17/18 13:43,uranusbean,2/16/18,Dinner,5:50:00 PM,6:20:00 PM,Nothing,Sunny,Tired,"Red bean avocado cucumber salad, chicken soup","Vegetables, Protein foods",,,,,,0,,Family,Home,5,9,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv12
2/17/18 13:45,uranusbean,2/17/18,Breakfast,8:05:00 AM,8:20:00 AM,Nothing,Sunny,Peaceful,Toast with peanut butter,"Grains, Protein foods",,,,,,0,,Family,Home,3,8,,"I would like to have some fruits in the morning, but I was running out of fruits in my fridge. ",,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 13:46,uranusbean,2/17/18,Lunch,11:50:00 AM,12:15:00 PM,Nothing,Sunny,Sad,"Chicken soup, chicken lettuce cucumber salad, califlower","Protein foods, Vegetables",,,,,,0,,Family,Home,5,9,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/17/18 14:23,farhajw,2/17/18,Lunch,1:45:00 PM,2:30:00 PM,Working,Snowy,Worried,"Roti with ground beef,a small cup of milk tea","Grains, Protein foods",,,,,,0,,Alone,Home,4,9,,,https://drive.google.com/open?id=1Gii4PbInrRPPArTdP5rSn79cTRfAd7po,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/17/18 15:49,khalidjawed,2/17/18,Brunch,12:46:00 PM,1:10:00 PM,Nothing,Sunny,Good,"Bread, cauliflower, nihari","Grains, Vegetables, Protein foods",,,,,,0,,Alone,Home,4,7,,,https://drive.google.com/open?id=1pLlVxs9VCYx1VZwpD-aqgdM2s7yn8vmW,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 18:02,xiaohui,2/15/18,Dinner,6:30:00 PM,6:50:00 PM,Talking,Cloudy,Peaceful,"Rice, potato, pork, Broccoli,shrimp, chicken","Grains, Vegetables, Protein foods",,,,,,0,,Family,Home,2,8,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 18:04,xiaohui,2/17/18,Breakfast,8:30:00 AM,8:45:00 AM,Nothing,Sunny,Tired,"Milk, break","Dairy, Grains, Fruits",,,,,,1,Strawberry,Family,Home,3,9,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/17/18 18:07,xiaohui,2/17/18,Lunch,1:00:00 PM,1:20:00 PM,Nothing,Sunny,Tired,"Rice, potato, pork, cabbage","Grains, Vegetables, Protein foods, Fruits",,,,,,1,Orange,Family,Home,2,9,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/17/18 18:09,xiaohui,2/17/18,Dinner,5:40:00 PM,6:00:00 PM,Nothing,Sunny,Tired,"Flour, potato,carrot, pork","Grains, Vegetables, Protein foods",,,,,,0,,Family,Home,4,9,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv11
2/17/18 19:17,farhajw,2/17/18,Snack,6:45:00 PM,7:12:00 PM,Watching TV,Snowy,Worried,"Crispy chicken drunken noodles, milk tea","Grains, Vegetables, Protein foods",,,,,,0,,Alone,Home,4,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv12
2/17/18 19:27,ysun,2/17/18,Dinner,5:30:00 PM,6:00:00 PM,Nothing,Cloudy,Tired,"Chili, rice, beans and pork","Grains, Protein foods, Vegetables",,,,,,0,,Family,Home,3,10,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv13
2/17/18 19:36,mengyue,2/17/18,Dinner,7:00:00 AM,7:25:00 AM,Watching TV,Windy,Bored,"Goat meat curry, mango lassi, and Nann","Grains, Protein foods, Fruits",300,90,5.8,1.5,"sodium 0.003g, dietary fiber 1.9g,  sugars 19.6 g",0,,Pets,Home,6,6,,,https://drive.google.com/open?id=1JUftV94JIUGWtIxkFgQ1wjY6Xvi8yRFk,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv14
2/17/18 20:40,khalidjawed,2/17/18,Lunch,5:30:00 PM,6:00:00 PM,Watching TV,Sunny,Satisfied,"Rice, beef, lady's finger, eggplant, orange juice","Grains, Protein foods, Vegetables, Fruits",,,,,,0,,Alone,Home,3,8,,,https://drive.google.com/open?id=1kmpgKHSbURwin5t6fhzf393EEk49KqPn,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 20:42,uranusbean,2/17/18,Dinner,5:50:00 PM,6:15:00 PM,Nothing,Cloudy,Good,"Homemade Chili (beef, red bean, onion), green bean with pork ","Protein foods, Vegetables ,Fruits",,,,,,1,Orange,Family,Home,4,8,,,,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/17/18 20:42,uranusbean,2/17/18,Dinner,5:50:00 PM,6:15:00 PM,Nothing,Cloudy,Tired,"Homemade Chili (beef, red bean, onion), green bean with pork ","Protein foods, Vegetables ,Fruits",,,,,,1,Orange,Family,Home,4,8,,,,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/17/18 21:36,bingbing,2/17/18,Breakfast,9:00:00 AM,9:15:00 AM,Nothing,Sunny,Happy,"Croissant, milk, banana","Grains, Dairy, Fruits",,,,,,1,Banana,Alone,Home,5,5,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 21:42,bingbing,2/17/18,Lunch,1:00:00 PM,1:15:00 PM,Watching TV,Sunny,Happy,"cabbage, pork, rice","Vegetables, Protein foods, Grains",,,,,,0,,Family,Home,4,7,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 21:44,bingbing,2/17/18,Dinner,6:00:00 PM,6:10:00 PM,Watching TV,Sunny,Happy,"Fish, rice, tomato","Protein foods, Grains, Vegetables",,,,,,0,,Family,Home,5,6,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/17/18 22:01,farhajw,2/17/18,Dinner,9:45:00 PM,10:00:00 PM,Nothing,Snowy,Worried,Slice of pizza(chicken),"Grains, Protein foods, Dairy",260,22,,14,,0,,Alone,Home,5,8,,,,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/18/18 0:47,khalidjawed,2/17/18,Dinner,9:45:00 PM,10:05:00 PM,Watching TV,Sunny,Happy,"Bread, jilebi, kebob, shingara, cucumber and onions","Grains, Protein foods, Vegetables",,,,,,0,,Alone,Home,6,9,,,https://drive.google.com/open?id=1AL7Y_WcDqw-42NaZ6YUJLMXreWGnunEt,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 0:47,khalidjawed,2/17/18,Dinner,9:45:00 PM,10:05:00 PM,Watching TV,Sunny,Good,"Bread, jilebi, kebob, shingara, cucumber and onions","Grains, Protein foods, Vegetables",,,,,,0,,Alone,Home,6,9,,,https://drive.google.com/open?id=1AL7Y_WcDqw-42NaZ6YUJLMXreWGnunEt,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 8:30,uranusbean,2/18/18,Breakfast,8:20:00 AM,8:30:00 AM,Nothing,Snowy,Peaceful,"Oatmeal, milk, strawberry, apple","Grains, Dairy, Fruits",,,,,,2,"Strawberry, Apple",Family,Home,3,8,,,https://drive.google.com/open?id=1Z7KaUfsazc37j1r0SOy2gqKyAU0Wwj-e,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/18/18 8:30,uranusbean,2/18/18,Breakfast,8:20:00 AM,8:30:00 AM,Nothing,Snowy,Sleepy,"Oatmeal, milk, strawberry, apple","Grains, Dairy, Fruits",,,,,,2,"Strawberry, Apple",Family,Home,3,8,,,https://drive.google.com/open?id=1Z7KaUfsazc37j1r0SOy2gqKyAU0Wwj-e,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/18/18 11:06,mengyue,2/18/18,Breakfast,9:30:00 AM,9:35:00 AM,Nothing,Snowy,Worried,"Eggs, cookies, tea, orange","Protein foods, Grains, Fruits",135,24,12,10,"vitamin c 51.1 mg, sugar 9g",1,Orange,Pets,Home,5,5,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/18/18 11:21,ysun,2/18/18,Breakfast,7:30:00 AM,8:00:00 AM,Nothing,Sunny,Good,"Toast, peanut butter, oatmeal, fruit","Grains, Protein foods, Fruits",,,,,,1,"Strawberry, Apple",Family,Home,4,10,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 12:06,ysun,2/18/18,Lunch,11:30:00 AM,12:00:00 AM,Nothing,Sunny,Tired,"Rice, chili, beans and pork.","Grains, Vegetables, Protein foods",,,,,,0,,Family,Home,3,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/18/18 12:10,nusaybah,2/18/18,Breakfast,7:45:00 AM,8:00:00 AM,Nothing,Cold,Tired,"3 cups of black coffee, roti and egg poach","Grains, Protein foods",,,,,,0,,Family,Home,3,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv10
2/18/18 12:11,nusaybah,2/18/18,Lunch,2:05:00 PM,2:30:00 AM,Nothing,Sunny,Tired,Khichdi and mutton curry,"Grains, Protein foods, Vegetables",,,,,,0,,Colleagues,Eat at work,1,10,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv11
2/18/18 12:13,nusaybah,2/18/18,Snack,7:30:00 PM,7:40:00 PM,Nothing,Cold,Sleepy,Sandwich,"Grains, Dairy, Protein foods",,,,,,0,,Alone,Home,5,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv12
2/18/18 12:14,nusaybah,2/18/18,Dinner,10:10:00 PM,10:30:00 PM,Watching TV,Cold,Tired,Rice and fish,"Grains, Protein foods",,,,,,0,,Family,Home,6,10,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv13
2/18/18 12:55,uranusbean,2/18/18,Lunch,12:10:00 PM,1:10:00 PM,Cooking,Sunny,Good,"Non-fat Chobani yogurt, cookies, apple cinnamon bar, grape fruit","Dairy, Grains, Fruits",,,,,,0.5,Grapefruit,Family,Home,5,6,,"I was not hungry at lunch time, so I chose to eat a slight lunch/ snack. I was doing some bakery at home and grabbing some snack to eat. Didn't plan to have a formal meal since I was not hungry at that time. ",,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 13:35,uranusbean,2/18/18,Snack,1:26:00 PM,1:35:00 PM,Working,Sunny,Good,Chacha Potato cracker (wasabi flavor),Vegetables,140,18,0,8,sugar 2g,0,,Alone,Home,5,6,,I tend to eat more snack if I skip my lunch. ,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 13:41,khalidjawed,2/18/18,Breakfast,10:40:00 AM,11:00:00 AM,Nothing,Sunny,Good,"Paratha, beef, chick peas","Grains, Protein foods, Vegetables",,,,,,0,,Alone,Home,4,7,,,https://drive.google.com/open?id=1doL8X7zutOoQ4wfJLXnba3ZGhzi0RGbP,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 15:23,farhajw,2/18/18,Lunch,2:45:00 PM,3:30:00 PM,Chatting on social media,Snowy,Worried,"Paratha, beef(2pc) with chick peas, milk tea","Grains, Protein foods, Vegetables",,,,,,0,,Alone,Home,4,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/18/18 16:26,khalidjawed,2/18/18,Lunch,1:25:00 PM,1:45:00 PM,Watching TV,Sunny,Good,"Fried vegetables  (pakora), orange juice","Vegetables, Fruits",,,,,,0,,Alone,Home,6,8,,,https://drive.google.com/open?id=1Gw43d4x3TlNC9z1lcBBYNw0z_SvSiJU0,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 19:11,ysun,2/18/18,Dinner,5:30:00 PM,6:00:00 PM,Nothing,Sunny,Good,"Pan fried salmon, raw salmon, rice, asparagus.","Protein foods, Grains, Vegetables",,,,,,0,,Family,Home,3,8,,,https://drive.google.com/open?id=10ZQMuyGa40IsW9CgrlhMLNdfgJDI_JC9,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/18/18 19:11,ysun,2/18/18,Dinner,5:30:00 PM,6:00:00 PM,Nothing,Sunny,Tired,"Pan fried salmon, raw salmon, rice, asparagus.","Protein foods, Grains, Vegetables",,,,,,0,,Family,Home,3,8,,,https://drive.google.com/open?id=10ZQMuyGa40IsW9CgrlhMLNdfgJDI_JC9,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/18/18 19:14,farhajw,2/18/18,Snack,6:45:00 PM,7:00:00 PM,Nothing,Snowy,Worried,Slice of pizza(chicken),"Grains, Protein foods, Dairy",,,,,,0,,Alone,Home,4,7,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/18/18 20:11,khalidjawed,2/18/18,Snack,5:10:00 PM,5:30:00 AM,Watching TV,Sunny,Good,"Stuffed fried bread, cucumber and onions, sprite","Grains, Vegetables",,,,,,0,,Alone,Home,7,9,,,https://drive.google.com/open?id=1Bb3m7lh4YsUIKH3Pu7m7NbF6-Jwi9DNI,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/18/18 22:28,farhajw,2/18/18,Dinner,9:45:00 PM,10:30:00 PM,Nothing,Snowy,Disgusted,"Rice(half-cup),prawn, tomato, potato, half-cup milk","Grains, Protein foods, Vegetables, Dairy",,,,,,0,,Alone,Home,4,7,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/18/18 23:39,khalidjawed,2/18/18,Dinner,8:35:00 PM,8:50:00 PM,Phone,Sunny,Good,"Rice, eggplant, chickpea with vegetables, beef","Grains, Protein foods, Vegetables",,,,,,0,,Alone,Home,5,8,,,https://drive.google.com/open?id=17NleIeRMGm5iF7iWBMrkcyl1VrJU99uo,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/19/18 0:36,nusaybah,2/19/18,Breakfast,9:00:00 AM,9:10:00 AM,Nothing,Sunny,Good,Black coffee and sandwich,"Grains, Dairy, Protein foods",,,,,,0,,Family,Home,2,9,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/19/18 1:19,bingbing,2/18/18,Breakfast,9:00:00 AM,9:10:00 AM,Talking,Sunny,Happy,"Crossoint, omlette, milk","Grains, Protein foods, Dairy",,,,,,0,,Family,Home,5,6,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/19/18 1:22,bingbing,2/18/18,Lunch,1:00:00 PM,1:20:00 PM,Watching TV,Sunny,Happy,"Asparagus, pork, spring roll, rice","Vegetables, Protein foods, Grains",,,,,,0,,Family,Home,4,7,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
